Name,mass,radius,orbital_period,semi_major_axis,eccentricity,inclination,star_distance,star_mass,star_radius,star_teff,M-dwarf,
2M 2140+16 b,20,0.92,7340,3.53,0.26,46.2,25,0.08,0.1,2300,0,
2M 2206-20 b,30,1.3,8686,4.48,0,44.3,26.67,0.13,0.11,2350,0,
51 Peg b,0.47,1.9,4.2308,0.052,0.0069,80,14.7,1.11,1.266,5793,0,
55 Cnc e,0.02703,0.1737,0.7365478,0.015439,0.028,90.36,12.34,1.015,0.98,5196,0,
AU Mic b,0.0368,0.3908,8.463,0.0645,0.04,89.03,9.79,0.5,0.75,3700,0,
AU Mic c,0.0698,0.3131,18.859019,0.1101,0.04,88.62,9.79,0.5,0.75,3700,0,
BD+20 594 b,0.07,0.23,41.6855,0.241,0,89.55,180.39,1.67,1.08,5766,0,
CoRoT-1 b,1.03,1.49,1.50896848,0.0254,0,83.96,460,0.95,1.11,6298,0,
CoRoT-10 b,2.75,0.97,13.2406,0.1055,0.53,88.55,345,0.89,0.79,5075,0,
CoRoT-11 b,2.33,1.43,2.994325,0.04351,0,81.41,560,1.27,1.36,6343,0,
CoRoT-12 b,0.917,1.44,2.8280517,0.04016,0.07,85.48,1150,1.078,1.116,5675,0,
CoRoT-13 b,1.308,0.885,4.0350906,0.051,0,88.02,1310,1.09,1.01,5945,0,
CoRoT-14 b,7.6,1.09,1.51214,0.027,0,79.6,1340,1.13,1.21,6035,0,
CoRoT-16 b,0.535,1.17,5.35227,0.0618,0.33,85.01,840,1.098,1.19,5650,0,
CoRoT-17 b,2.43,1.02,3.768125,0.0461,0,88.34,920,1.04,1.59,5740,0,
CoRoT-18 b,3.47,1.31,1.90009057,0.0295,0.08,86.5,870,0.95,1,5440,0,
CoRoT-19 b,1.11,1.29,3.8971372,0.0518,0.047,87.61,800,1.21,1.65,6090,0,
CoRoT-2 b,3.31,1.465,1.7429964,0.0281,0,87.84,300,0.97,0.902,5575,0,
CoRoT-20 b,4.24,0.84,9.2431839,0.0902,0.562,88.21,1230,1.14,0.92,5880,0,
CoRoT-22 b,0.06,0.4354,9.75598,0.092,0.077,89.749,592,1.099,1.136,5939,0,
CoRoT-23 b,2.8,1.08,3.6314,0.0477,0.16,85.7,600,1.14,1.61,5900,0,
CoRoT-24 b,0.018,0.33,5.1134,0.056,0,86.5,600,0.91,0.86,4950,0,
CoRoT-24 c,0.088,0.44,11.759,0.098,0,89,600,0.91,0.86,4950,0,
